type,id,Name,Age,Notes-age,Gender,Location,County or unitary authority,Country or english region,dod_day,dod_month,dod_year,Notes-dod,blurb,Died on streets,In hospital,Temp accomm,Recording by,reporting_by,reporting_link,Other Links,img_file,img_credit,notes
text1,dh0167,Paul Cooper/Holford,37,,M,London,,London,5,3,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0164,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,4,3,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text2,dh0165,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,4,3,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0355,Parmajit Singh,37,,M,London,,London,4,3,2018,,Parmajit was Sri Lankan and died during cold weather.,,,,,a local charity,,,,,
photo,dh0163,Robert Wallis,41,,M,Canterbury,Kent,South East,2,3,2018,,"Robert, 41, was found dead in his sleeping bag, at a homeless shelter. His mother, Eileen Wallis, was also staying at the centre. Eileen described to local news how she had found him dead: “I woke up and reached out for his hand but it felt really cold...I knew he was ill, but this came completely out of the blue and I am devastated. I have no idea what my future holds now.”",,,x,,Kent Live,https://www.kentlive.news/news/kent-news/homeless-man-found-dead-sleeping-1288133,http://www.kentonline.co.uk/canterbury/news/double-tragedy-for-mum-of-161193/,img/robert-wallis.jpg,Kent Live,
text2,dh0162,Unknown,,60s,M,Preston,Lancashire,North West,1,3,2018,,A man in his 60s died minutes after leaving a homeless emergency shelter on a freezing March morning. Temperatures had dropped to -10C overnight. The man left the shelter and collapsed in a doorway. ,x,,,,the Lanchashire Evening Post,https://www.lep.co.uk/news/crime/homeless-man-dies-after-collapsing-in-preston-city-centre-and-what-you-can-do-to-help-rough-sleepers-1-9044572,,,,
photo,dh0184,Hamid Farahi,55,,M,Church Langley,Essex,East of England,,3,2018,,"Hamid, a quantum physicist who fought in Iraq, was living in the back of his car in a Tesco car park. He moved to a shelter during the cold weather and passed away there.",,,x,,Essex Live,https://www.essexlive.news/news/friendly-homeless-veteran-died-after-1337398,,img/hamid-fahari.jpg,Clive Turner,"Talking to people who knew him, we can confirm is name is Hamid and not Hamed as stated in the article."
text2,dh0185,Unknown,33,,M,Brighton,Brighton and Hove,South East,,3,2018,,Suspected drug overdose.,,,,,a local charity,,,,,
text2,dh0186,Unknown,,50s,M,Brighton,Brighton and Hove,South East,,3,2018,,A man in his 50s died of a suspected drug overdose.,,,,,a local charity,,,,,
text1,dh0187,Simon Day,44,,M,Southend-on-Sea,Essex,East of England,,3,2018,,Simon was disabled and spent periods living on the streets. He was staying with a friend when he died.,,,x,,a family member and local charity,,,,,As told to us by family member and confirmed by local charity
text2,dh0188,Unknown,35,,Unknown,Kettering,Northamptonshire,East Midlands,,3,2018,,According to the council one person died while living in temporary accommodation after being evicted.,,,,,,,,,,via Freedom of Information
text1,dh0189,Betty Brown,,,M,London,,London,,3,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,a local charity,,,,,
text1,dh0190,Steve McGregor ,,,M,London,,London,,3,2018,,,,,,,a local charity,,,,,
text1,dh0191,Gary James,,,M,London,,London,,3,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,a local charity,,,,,
text1,dh0206,William Follett,33,,M,Dover,Kent,South East,29,4,2018,,"William died in his sleep after mixing cider with street-bought painkillers, an inquest found. ",x,,,,Kent Live,https://www.kentlive.news/news/kent-news/homeless-man-found-dead-dover-1949876,,,,
text1,dh0204,Robert Robertson,57,,M,Bedford,Bedford,East of England,25,4,2018,,Robert died in a night shelter.,,,x,,a local charity,,,,,
text1,dh0205,Phillip Hancok,35,,M,Newquay,Cornwall,South West,25,4,2018,,"Phillip was found with just £6.90 in his pocket. He was found in his sleeping bag. An inquest found he had evidence of multiple drugs in his system, including heroin, cocaine and amphetamine, although none were of lethal quantities.",x,,,,Cornwall Live,https://www.cornwalllive.com/news/cornwall-news/newquay-people-say-man-found-1498818,http://www.itv.com/news/westcountry/2018-05-10/calls-for-more-support-after-homeless-man-found-dead-in-shop-doorway/,,,
photo,dh0202,Martin Dines,56,,M,Colchester,Essex,East of England,23,4,2018,,Martin's body was found in a car-park in Colchester. A murder investigation was opened.,x,,,,Essex Live,https://www.essexlive.news/news/essex-news/colchester-murder-investigation-father-pays-1499512,,img/martin-dines.jpg,Essex Police,
text1,dh0203,Paul John Devine,61,,M,London,,London,23,4,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0201,Mary Lane,53,,F,Gravesend,Kent,South East,22,4,2018,,Mary's body was found in a sleeping bag in the woods. She was not identified for many weeks and the man that found her said it was apparent she had been there for some time.,,,,,Kent Online,https://www.kentonline.co.uk/gravesend/news/cause-of-homeless-womans-death-unclear-191777/,,,,
text1,dh0199,Elliot,,50-70,M,Boston,Lincolnshire,East Midlands,11,4,2018,,"Elliot died after collapsing in a McDonalds in Boston, Lincolnshire. Police appealed for help in finding his family.",x,,,,Lincolnshire Live,https://www.lincolnshirelive.co.uk/news/local-news/homeless-man-dies-after-collapsing-1529281,,,,
text1,dh0200,Arna Bud-Husain,49,,M,Brighton,Brighton and Hove,South East,11,4,2018,,Arna was a resident at a homeless hostel. He was accessing GP services until earlier this year.,,,x,,a local charity,,,,,
text1,dh0198,Ryan Thomas McGurgan,33,,M,Leeds,Leeds,Yorkshire and the Humber,10,4,2018,,"Ryan was found dead in a hostel for homeless men. According to local news reports, he was found the morning he was due to be recalled to prison.",,,x,,the Yorkshire Evening Post,https://www.yorkshireeveningpost.co.uk/our-city/man-33-found-dead-in-leeds-on-day-he-was-due-to-be-recalled-to-prison-1-9145866,,,,
text1,dh0197,Peter Harrison,57,,M,London,,London,9,4,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0196,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,8,4,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0195,Natalie-Ann Shutt,32,,F,London,,London,7,4,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0193,William Morrow,45,,M,Brighton,Brighton and Hove,South East,4,4,2018,,William was described as an “extremely likeable” person. He had been living rough in Brighton for around 15 years. An inquest found he had died of a heroin overdose despite have recently detoxed. ,x,,,,the Argus,http://www.theargus.co.uk/news/16349358.homeless-addict-found-dead-at-the-level-brighton/,,,,
text2,dh0194,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,4,4,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text2,dh0192,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,1,4,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text2,dh0207,Unknown,45,,M,Brighton,Brighton and Hove,South East,,4,2018,,Cause unknown.,,,,,a local charity,,,,,
photo,dh0208,Lesley Roberts,56,,F,Swansea,Swansea,Wales,,4,2018,Between April 3 and April 5,"Lesley Roberts, 56, who died in hospital surrounded by her family, was described as ""one of the lovely gems of Swansea homeless.""",,,x,,Wales Online,https://www.walesonline.co.uk/news/local-news/one-gems-swanseas-homeless-community-14496435,"https://www.facebook.com/SwanseaOnline1/posts/1919042274835016, http://www.newslocker.com/en-uk/region/wales/one-of-the-gems-of-swanseas-homeless-community-has-died/view/",img/lesley-roberts.jpg,South Wales Police,
text1,dh0209,Dan Greenwood,,30s,M,Swindon,Swindon,South West,,4,2018,,Dan was reportedly found deceased in a tent on the Swindon College's campus.,x,,,,Wiltshire999s,http://www.wiltshire999s.co.uk/homeless-man-found-deceased-in-tent-in-swindon-named-locally-as-dan-greenwood/,,,,
text1,dh0210,Chris Moyes ,,,M,London,,London,,4,2018,,,,,,,a local charity,,,,,
text2,dh0211,Unknown,60,,Unknown,Shetland Islands,Shetland Islands,Scotland,,4,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0212,Kevin Moore,51,,M,Islington,Islington,London,,4,2018,,Kevin had been living in hostels and on the streets for some time prior to his death in April. Local charity workers remember him as a “complete teddy bear” and “a fantastic table-tennis player”. An inquest found he had died by suicide.,,,,,Islington Gazette,http://www.islingtongazette.co.uk/four-men-die-homeless-in-islington-in-a-year-1-5746498,,,,
text1,dh0225,Susan Dool,42,,F,London,,London,27,5,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0224,Unknown,,20s,F,Islington,Islington,London,26,5,2018,,Woman in her 20s/30s found sleeping rough in doorway on Newington Green Road in Islington .,x,,,,London Homeless Info Twitter,https://twitter.com/Homeless_Info/status/1000375751114358784,,,,
text1,dh0421,Dean Gundry,29,,M,Luton,Luton,South East,26,5,2018,,Dean was accessing homelessness services and died of a suspected accidental overdose.,,,,,a local charity,,,,,
text1,dh0420,Richard Tricky,,,M,Luton,Luton,South East,25,5,2018,,Richard died in May in Luton. He was accessing homelessness services,,,,,a local charity,,,,,
text1,dh0223,Jason Black,47,,M,London,,London,23,5,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0222,Darren James,45,,M,London,,London,22,5,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
photo,dh0221,Arunesh Thangarajah,26,,M,Mitcham,Merton,London,20,5,2018,,"Arunesh was found stabbed to death in the early hours of the morning. A friend told the Evening Standard ""He was a good friend, like a brother. I only spoke to him the night before - I can’t believe it.”",x,,,,the Evening Standard,https://www.standard.co.uk/news/crime/ruislip-stabbing-first-picture-of-caring-family-man-osman-shidane-20-who-was-knifed-to-death-outside-a3844176.html,,img/arunesh-thangarajah.jpg,the Metropolitan Police,
text2,dh0220,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,19,5,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text2,dh0219,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,18,5,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0218,Jayson/Jason/Danny/Daniel Thompson,46,,M,London,,London,15,5,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0217,Catherine Colebourne,38,,F,London,,London,14,5,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0216,Belinda Cameron,44,,F,London,,London,11,5,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0215,Mary Mccarthy,43,,F,London,,London,2,5,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0213,Anna Raynes,28,,F,Bath,Bath and North East Somerset,South West,1,5,2018,,"Anna died in a night shelter after sleeping rough in Bristol and Bath. She was a mother of two and was described as ""a very kind person"" and ""the most amazing mum"".",,,x,,the Bristol Post,https://www.bristolpost.co.uk/news/bristol-news/tributes-paid-after-young-mum-1597948,,,,
text2,dh0214,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,1,5,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text2,dh0226,Unknown,,,M,Barnstable,North Devon,South West,,5,2018,,A man was found dead in a tent on Seven Brethren in Barnstaple.,x,,,,the North Devon Gazette,https://www.northdevongazette.co.uk/news/homeless-drop-in-call-1-5564160,,,,
text1,dh0227,David Hart,50,,M,Havering,,London,,5,2018,,David had been sofa-surfing across Havering for about 18 months. He had previously stayed at a homeless shelter in Romford but was unable to cope with the strict ban on drinking.,,,x,,the Romford Recorder,http://www.romfordrecorder.co.uk/news/homeless-deaths-in-havering-1-5733053,,,,
text1,dh0228,Archie,52,,M,Stratford,Newham,London,,5,2018,,Archie was a former nurse believed to be from Zimbabwe. He was often supported by homelessness outreach teams working out of the Stratford shopping centre.,,,,,the Newham Recorder,https://www.newhamrecorder.co.uk/news/newham-homeless-deaths-1-5742503,,,,
photo,dh0229,Catrina,29,,F,Stratford,Newham,London,,5,2018,,"In the cold weather of March 2018, Catrina was housed in a Newham B&B. A volunteer for Lola's a local homeless charity recalled lifting her up off the ground to place her on the minibus. She also slept rough and sofa surfed.",x,,,,the Newham Recorder,https://www.newhamrecorder.co.uk/news/newham-homeless-deaths-1-5742503,,img/catrina.jpg,Lola's Homeless,
text1,dh0255,Alan/Lee Jordan/Higgins,47,,M,London,,London,30,6,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0256,Unknown,50,,F,Blackpool,Blackpool,North West,30,6,2018,,A 50-year-old woman died suddenly on the streets of Blackpool.,x,,,,the Blackpool Gazette,https://www.blackpoolgazette.co.uk/news/rough-sleeper-died-suddenly-in-blackpool-1-9231164,,,,
text1,dh0257,Noah Jones,48,,M,Tunbridge Wells,Kent,South East,30,6,2018,,Noah's body was found by children playing in Calverley Grounds. An inquest heard he was sleeping rough and frequently stayed in the park. The cause of death was given as multiple drug toxicity.,x,,,,Kent Live,https://www.kentlive.news/news/kent-news/homeless-man-found-dead-children-2071961,,,,
text2,dh0258,Unknown,,,Unknown,Argyll and Bute,Argyll and Bute,Scotland,30,6,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0253,Unknown,38,,M,Birmingham,Birmingham,West Midlands,28,6,2018,,This 38 year old man was hit by a train in Birmingham. He accessed homelessness service in Northampton.,,,x,,a local charity,,,,,
text2,dh0254,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,28,6,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0252,Daniel Peter Clements,34,,M,Shrewsbury,Shropshire,West Midlands,26,6,2018,,Daniel died in hospital of opiate toxicity after injecting himself with heroin. At his inquest the coroner recalled how he had previously risked his life trying to save a friend from drowning. ,,x,,,the Shropshire Star,https://www.shropshirestar.com/news/local-hubs/shrewsbury/2018/11/15/heroin-man-died-despite-lifesaving-efforts-after-collapsing-in-shrewsbury-street/,,,,
text1,dh0250,Christopher Matthews,41,,M,Northampton,Northamptonshire,East Midlands,25,6,2018,,"Christopher was found stabbed in a house in Northampton. His family said they were ""devastated"" by the loss. A man has been charged with murder.",,,x,,the BBC,https://www.bbc.co.uk/news/uk-england-northamptonshire-44602224,,,,Also reported by a local charity
text2,dh0251,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,25,6,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0249,Matthew Thomas,39,,M,London,,London,21,6,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0248,Stephen Donoghue,40,,M,Manchester,Manchester,North West,20,6,2018,,Stephen died in the Ancoats area of Mancheter.,,,,,the Manchester Evening News,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/the-deaths-they-dont-count-15021204.amp?__twitter_impression=true,,,,
photo,dh0247,Jasandeep Singh,40,,M,Hounslow,Hounslow,London,19,6,2018,,"Known locally as ""Happy"", Jasandeep was found in Bulstrode Road in Hounslow. His death is being treated as unexplained and police are appealing for his next-of-kin to make contact.",x,,,,GetWestLondon,https://www.getwestlondon.co.uk/news/west-london-news/40-year-old-homeless-man-14846923,,img/jasandeep-singh.jpg,the Metropolitan Police,
text1,dh0246,Lech Zygmunt Toda,56,,M,London,,London,16,6,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0245,Jennifer Innocenti,35,,F,London,,London,15,6,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0244,Raja Sekar,,,M,Tooting,Wandsworth,London,14,6,2018,,"Raja was a rough sleeper and regular guest at the Spires drop-in day centre in Streatham for the past six years.  An intensely private, courteous man, we knew very little about him other than that he was Sri Lankan and was here in UK on his own.",,x,,,a local charity,,,,,
text1,dh0242,David Holland,64,,M,London,,London,13,6,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
photo,dh0240,Tracy Patsalides,40,,F,Eastbourne,East Sussex,South East,12,6,2018,,"Tracy's body was found in a beach shelter in King Edward’s Parade, Eastbourne. Friends and well-wishers left tributes at the spot but were saddened to see them cleared away by street-cleaners. Her friend described her as ""a lovely lady"" saying: ""“She used to light up a room when she walked in, she’d have a smile on her face."" A man was later convicted of manslaughter after evidence suggested she had been strangled and her throat stamped on.",x,,,,the Eastbourne Herald,https://www.eastbourneherald.co.uk/news/upset-as-seafront-tribute-to-homeless-woman-removed-1-8538234,https://www.bbc.co.uk/news/uk-england-sussex-46402348,img/tracey-patsalides.jpg,the Eastbourne Herald,
text2,dh0241,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,12,6,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
photo,dh0239,Paul Andrews,57,,M,Stratford,Newham,London,10,6,2018,,Paul had become homeless after the death of his mother. He was working in a furniture store and had just found accommodation when he passed away. The year before he had won praise after helping two boys injured in an acid attack.,,,x,,the Newham Recorder,https://www.newhamrecorder.co.uk/news/newham-homeless-deaths-1-5742503,,img/paul-andrews.jpg,Lola's Homeless,
text2,dh0237,Anonymous,43,,M,Northampton,Northamptonshire,East Midlands,9,6,2018,,Died of a suspected overdose.,,,,,a local charity,,,,,
text1,dh0238,Salim/Saleem Khan,51,,M,London,,London,9,6,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0236,Tibby,50,,M,Stratford,Newham,London,7,6,2018,,"Tibby reportedly suffered a heart-attack after smoking spice. He  used a wheelchair, was from Romania and had been getting support from homeless charities in Stratford. Volunteers remembered him looking “frail” and “very neglected”.",x,,,,the Newham Recorder,https://www.newhamrecorder.co.uk/news/newham-homeless-deaths-1-5742503,,,,
text1,dh0234,James Moore,44,,M,York,York,Yorkshire and the Humber,5,6,2018,,"James Moore died in hospital days after being injected with heroin by Jordan Hipkins, who was later jailed for manslaughter. ",,x,,,the Yorkshire Post,https://www.yorkshirepost.co.uk/news/crime/jail-for-york-man-jordan-hipkins-who-injected-james-moore-with-fatal-heroin-dose-in-shop-doorway-1-9343614,,,,
text2,dh0235,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,5,6,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0233,Ricky Jones,46,,M,Wrexham,Wrexham,Wales,3,6,2018,,Ricky's body was found near railway tracks in Wrexham. He was hidden in an archway near the tracks and was found by the police.,x,,,,the Leader,http://www.leaderlive.co.uk/news/16288482.wrexham-inquest-opened-into-death-of-man-found-near-railway-tracks/,,,,
text1,dh0230,Alain Ettiern Simmonds,48,,M,Shifnal,Shropshire,West Midlands,2,6,2018,,"Alain arrived in Shropshire from the South East area in May 2018. He was homeless and provided with hostel accommodation in Shifnal, Shropshire. An inquest heard that he had contacted Shropshire Council's housing team and they found him a place in the guest house. The inquest also heard how Alain was an alcoholic, was pleasant and got on with others at the guest house. The police were unable to find next of kin.",,,,,West Mercia Police,https://www.westmercia.police.uk/article/50221/Appeal-on-behalf-of-Coroner-for-Shropshire,https://www.shropshirestar.com/news/local-hubs/telford/shifnal/2018/10/19/man-died-of-drink-and-drugs-at-shifnal-guest-house/,,,
text1,dh0231,Rallf Galenieks,34,,M,Bristol,Bristol,South West,2,6,2018,,Rallf was found in a tent by a riverside in Bristol. The police said the death was not suspicious. Initial reports at the inquest indicated he died of acute morphine toxicity.,x,,,,Bristol Live,https://www.bristolpost.co.uk/news/bristol-news/man-found-dead-tent-named-1973057,,,,
text1,dh0232,Dawn/Patricia Smith/Gill,33,,F,London,,London,2,6,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0259,Kevin Tridgell,38,,M,Canterbury,Kent,South East,,6,2018,,,,,,,Kent Online,http://www.kentonline.co.uk/canterbury/news/spike-in-deaths-among-citys-homeless-187386/,https://www.kentlive.news/news/kent-news/man-48-accused-killing-kevin-1648240,,,
text1,dh0260,Nick Pullinger,,,M,London,,London,,6,2018,,,,,,,a local charity,,,,,
text1,dh0261,Emma Winterton,28,,F,Sandhurst,Bracknell Forest,South East,,6,2018,,Ms Winterton found near St Michael's church on Monday 25 June on MoD land at Sandhurst. Police believe she died some days prior to the discovery of her body.,x,,,,Surrey Live,https://www.getsurrey.co.uk/news/surrey-news/woman-found-dead-mod-land-14856784,,,,
text1,dh0283,Richard Robinson,49,,M,Ilford,Redbridge,London,31,7,2018,,"Richard, who had schizophrenia, died after falling from an Ilford multi-storey car park. An inquest heard how he had left a care home in Northern Ireland and had stopped taking medication.",x,,,,Ilford Recorder,http://www.ilfordrecorder.co.uk/news/police-cordon-off-ilford-car-park-after-dead-person-discovered-1-5631031,https://www.ilfordrecorder.co.uk/news/schizophrenic-rough-sleeper-inquest-1-5905841,,,
text1,dh0282,Stuart White,45,,M,Bath,Bath and North East Somerset,South West,30,7,2018,,"Stuart was found dead in a churchyard, a day after discharging himself from hospital. His half-sister was fundraising to pay for the funeral costs.",x,,,,Somerset Live,https://www.somersetlive.co.uk/news/somerset-news/sister-homeless-man-found-dead-1870569,,,,
text2,dh0279,Unknown,35,,M,Dundee,Dundee City,Scotland,29,7,2018,,"A man died suddenly at a homeless hostel in Soapwork Lane, Dundee. ",,,x,,Evening Telegraph,https://www.eveningtelegraph.co.uk/fp/this-is-no-place-for-a-lassie-to-die-shock-as-second-person-dies-at-dundee-hostel-in-a-week/,,,,
text1,dh0280,Donn Joseph Morgan,37,,M,Manchester,Manchester,North West,29,7,2018,,"Donn Joseph Morgan, 37, known as DJ, died in the city centre on July 29, found on Whitworth Street West.",x,,,,the Manchester Evening News,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/the-deaths-they-dont-count-15021204.amp?__twitter_impression=true,,,,
text1,dh0281,Kenny,,,M,Dundee,Dundee City,Scotland,29,7,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0422,Andrzej Skwarlo,51,,M,Luton,Luton,South East,26,7,2018,,Andrzej died while staying in a squat.,,,x,,a local charity,,,,,
text1,dh0498,Peter Mbugua Thuo (Mohammed Hassan),42,,M,Coventry,Coventry,West Midlands,26,7,2018,,"Peter had slept rough for many years. He had overstayed on a visa and so could not access public funded services. He developed epilepsy and was hospitalised many times.  After one of these episodes he was discharged back to the streets and died.  His body was not found for many months, according to a local charity that knew him.",x,,,,a local charity,,,,,
text1,dh0277,Darren Marshall,52,,M,London,,London,20,7,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0278,Raymond Clark,57,,M,London,,London,20,7,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
photo,dh0276,Dermot Mulligan,56,,M,Maidstone,Kent,South East,19,7,2018,,"Dermot was found dead outside the RBS bank in Jubilee Square, Maidstone. Despite a five month search, officials were unable to find next of kin.",x,,,,Kent Online,https://www.kentonline.co.uk/maidstone/news/rough-sleeper-found-dead-had-no-family-193262/,,img/dermot-mulligan.jpg,Kent Online,
text1,dh0275,Arthur Kendrick,62,,M,London,,London,18,7,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0274,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,17,7,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0273,Jayne Simpson,53,,F,Stafford,Staffordshire,West Midlands,11,7,2018,,"Jayne's body was found near a bank in the town centre of Stafford. Her mother told local press how Jayne was ""a genuinely lovely person"" but had struggled with alcohol. A local charity called House of Bread is helping raise money for her funeral.",x,,,,the Stoke Sentinel ,https://www.stokesentinel.co.uk/news/local-news/heartbroken-mum-speaks-out-after-1819892,,,,
text1,dh0272,Jason Wager,52,,M,Leeds,Leeds,Yorkshire and the Humber,10,7,2018,,"Jason, also known as JJ, had been sleeping rough in Leeds for around three decades, according to local news reports. He was remembered fondly by friends and people who had come to know him. One member of the public wrote online: ""Leeds will not be the same without you JJ"". ",,,,,Leeds Live,https://www.leeds-live.co.uk/news/leeds-news/passers-pay-tribute-homeless-leeds-14894546,https://www.leeds-live.co.uk/news/leeds-news/tributes-paid-happy-go-lucky-14889583 / https://www.leeds-live.co.uk/news/leeds-news/official-review-deaths-five-leeds-14907261,,,
text2,dh0270,Unknown,,40s,M,Leamington Spa,Warwickshire,West Midlands,9,7,2018,,"A man in his 40s died in Jephson Gardens. The man had been attending a soup kitchen and the LWS night shelter which wrote in a Facebook post: ""This man never failed to make us laugh, and always had a smile on his face, despite the extremely tough circumstances he found himself in. ...No one should have to spend their final moments alone on a park bench and we will continue to do what we can, along with all the other local services, to prevent this from happening again""",x,,,,the Leamington Courier,https://www.leamingtoncourier.co.uk/news/leamington-homeless-shelters-pay-tribute-to-man-who-died-in-jephson-gardens-1-8563438,,,,
text1,dh0271,Steven John Beattie,47,,M,Porthcawl,Bridgend,Wales,9,7,2018,,Steven died after facing from Porthcawl Pier into the Bristol Channel. He had apparently been drinking heavily before he fell.,,,,,Wales Online,https://www.walesonline.co.uk/news/wales-news/homeless-man-died-after-falling-15441801,,,,
text1,dh0423,John Cunningham,64,,M,Cambridge,Cambridgeshire,East of England,9,7,2018,,"This man was a regular attendee at Wintercomfort, in Cambridge. Staff there said he will be greatly missed.",x,,,,a local charity,,,,,
text1,dh0520,Raymond Ward,51,,M,Scunthorpe,Scunthorpe,North East,9,7,2018,,Raymond was found with multiple injuries having been beaten to death. His body was discovered under a blanket in a disused building.,,,x,,the Grimsby Telegraph,https://www.grimsbytelegraph.co.uk/news/local-news/dion-hendry-jury-murder-trial-2570872,,,,
text2,dh0269,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,8,7,2018,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
photo,dh0267,Fabian Bayet,48,,M,Mablethorpe,Lincolnshire,East Midlands,7,7,2018,,"Oringinally from Belgium, Fabian sold The Big Issue in Milton Keynes. Long-term friend Sally Luft said: “He had a lot of people who really cared for him and he was a very special man, a real dreamer who wouldn’t let anyone past without a smile.” A GoFundMe campaign was started to raise money towards a memorial.",x,,,,the Big Issue,https://www.bigissue.com/latest/milton-keynes-mourns-loss-of-always-smiling-vendor-fabian-bayet/,,img/fabian-bayet.jpg,the Big Issue,
text1,dh0268,David Massey,49,,M,Blackpool,Blackpool,North West,7,7,2018,,"David was found on the streets by a passerby. At his inquest it was found he had died from acute respiratory failure, caused by sudden inflammation of the pancreas due to alcohol toxicity.",x,,,,the Blackpool Gazette,https://www.blackpoolgazette.co.uk/our-region/blackpool/homeless-man-died-on-blackpool-streets-1-9447533,,,,
text2,dh0266,Anonymous,37,,F,Northampton,Northamptonshire,East Midlands,5,7,2018,,Likely cause of death was pneumonia.,,,x,,a local charity,,,,,
text1,dh0263,CB,36,,M,Brighton,Brighton and Hove,South East,4,7,2018,,Was in emergency accommodation when he died.,,,x,,a local charity,,,,,
